Customer ID,Age,Gender,Item Purchased,Category,purchase_amount,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,64.0,Male,Jeans,Footwear,20.0,Maine,M,,Winter,3.7,Yes,Standard,Yes,,26.0,PayPal,Every 3 Months
2,65.0,Male,Jeans,Footwear,21.0,Rhode Island,XL,Turquoise,Winter,2.7,Yes,Store Pickup,Yes,No,12.0,Debit Card,Weekly
3,43.0,Male,,Footwear,27.0,,L,Black,Spring,2.9,Yes,,Yes,Yes,50.0,Debit Card,Bi-Weekly
4,,Male,Handbag,Outerwear,45.0,Oregon,XL,Green,Winter,3.9,Yes,Express,Yes,Yes,11.0,Debit Card,Monthly
5,,Male,Coat,,80.0,Rhode Island,XL,Turquoise,Winter,3.9,Yes,Store Pickup,Yes,Yes,19.0,,Annually
6,46.0,Male,Coat,,82.0,Florida,S,White,,4.9,Yes,2-Day Shipping,Yes,Yes,36.0,Bank Transfer,
7,21.0,Male,Sandals,Outerwear,50.0,Rhode Island,L,Yellow,Summer,3.5,Yes,Store Pickup,Yes,No,25.0,Debit Card,Fortnightly
8,,Male,Sandals,,29.0,Oregon,M,Green,Fall,4.5,Yes,Standard,Yes,No,,Venmo,Bi-Weekly
9,21.0,Male,Shirt,Clothing,100.0,Kentucky,M,Pink,Spring,4.6,Yes,Store Pickup,Yes,No,39.0,Venmo,Annually
10,22.0,Male,Shoes,,97.0,Rhode Island,S,Green,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,11.0,Bank Transfer,Every 3 Months
11,39.0,Male,Handbag,Clothing,74.0,Florida,,Pink,Winter,,Yes,Standard,Yes,Yes,26.0,Credit Card,Bi-Weekly
12,31.0,Male,Sneakers,Clothing,59.0,New York,L,Maroon,Spring,4.1,Yes,Store Pickup,Yes,,47.0,Cash,Monthly
13,,Male,Shoes,Outerwear,,Oregon,S,Turquoise,Fall,4.2,Yes,Standard,Yes,Yes,3.0,Credit Card,Weekly
14,23.0,Male,Sneakers,Clothing,91.0,New York,XL,Pink,Summer,,Yes,Standard,Yes,No,20.0,Cash,Fortnightly
15,41.0,Male,Jeans,Clothing,54.0,Kentucky,,Black,Summer,3.1,Yes,,Yes,Yes,27.0,,Monthly
16,69.0,Male,Shoes,Accessories,52.0,Rhode Island,M,Turquoise,Summer,4.5,Yes,Standard,Yes,No,43.0,,Every 3 Months
17,52.0,Male,Shorts,Outerwear,39.0,New York,L,Green,Summer,4.1,Yes,Free Shipping,Yes,No,2.0,Credit Card,
18,37.0,Male,Shirt,Outerwear,94.0,Florida,M,,Summer,5.0,Yes,2-Day Shipping,Yes,No,41.0,Debit Card,Bi-Weekly
19,41.0,Male,Jeans,Footwear,23.0,Kentucky,M,Turquoise,,4.9,Yes,2-Day Shipping,Yes,Yes,15.0,Bank Transfer,Annually
20,22.0,Male,Jeans,Footwear,79.0,Kentucky,S,White,Summer,2.6,Yes,Free Shipping,Yes,No,17.0,PayPal,Every 3 Months
21,37.0,Male,Jeans,Clothing,,Oregon,,Yellow,Summer,2.5,Yes,Free Shipping,Yes,,,Bank Transfer,Monthly
22,18.0,Male,Shirt,Outerwear,88.0,Maine,,,Fall,3.9,Yes,2-Day Shipping,Yes,No,34.0,Debit Card,Quarterly
23,38.0,Male,Sandals,Accessories,,,M,Pink,Winter,2.6,Yes,2-Day Shipping,Yes,No,24.0,PayPal,Fortnightly
24,50.0,Male,Shorts,Footwear,20.0,Rhode Island,M,Yellow,Summer,4.5,Yes,Next Day Air,Yes,,29.0,,
25,22.0,Male,Shoes,Accessories,,Rhode Island,L,White,Spring,2.9,Yes,Express,Yes,No,,PayPal,Fortnightly
26,61.0,Male,Coat,Footwear,31.0,,S,,Spring,2.9,Yes,Store Pickup,Yes,Yes,32.0,Cash,Annually
27,61.0,Male,Blouse,Accessories,36.0,Massachusetts,,White,,,Yes,Next Day Air,Yes,,32.0,Bank Transfer,
